id,audio_filepath,duration,class,audio_file_name
id_6nazjwygdl,id_6nazjwygdl.wav,1.984,left,id_6nazjwygdl.wav
id_jpwl97yilf,id_jpwl97yilf.wav,2.027,down,id_jpwl97yilf.wav
id_9d131fb32p,id_9d131fb32p.wav,2.274,go,id_9d131fb32p.wav
id_kat2oty4s0,id_kat2oty4s0.wav,2.176,down,
id_g3hvae3jbe,id_g3hvae3jbe.wav,1.634,down,id_g3hvae3jbe.wav
id_dswgur9vkg,id_dswgur9vkg.wav,2.074,go,
id_fpa0cqt5t8,id_fpa0cqt5t8.wav,1.238,right,id_fpa0cqt5t8.wav
id_v2ds7nef9d,id_v2ds7nef9d.wav,1.899,left,id_v2ds7nef9d.wav
id_uuux6d7cwp,id_uuux6d7cwp.wav,1.984,left,id_uuux6d7cwp.wav
id_pyu7ch7t64,id_pyu7ch7t64.wav,1.554,up,id_pyu7ch7t64.wav
id_xpfs3wr3mk,id_xpfs3wr3mk.wav,1.984,left,id_xpfs3wr3mk.wav
id_cnrkal90lz,id_cnrkal90lz.wav,1.674,yes,
id_mg1y070ffq,id_mg1y070ffq.wav,2.274,down,
id_6gzt3ujfnd,id_6gzt3ujfnd.wav,1.664,yes,id_6gzt3ujfnd.wav
id_84ug3bx5kl,id_84ug3bx5kl.wav,1.984,left,id_84ug3bx5kl.wav
id_fscrq0hb4t,id_fscrq0hb4t.wav,1.358,down,id_fscrq0hb4t.wav
id_xc7rs7k1rs,id_xc7rs7k1rs.wav,1.078,no,id_xc7rs7k1rs.wav
id_ugesu01k1q,id_ugesu01k1q.wav,2.069,no,id_ugesu01k1q.wav
id_20y9y85csz,id_20y9y85csz.wav,1.358,down,id_20y9y85csz.wav
id_7oceihot3l,id_7oceihot3l.wav,1.654,right,id_7oceihot3l.wav
id_le7254d4ch,id_le7254d4ch.wav,2.027,down,
id_0cxsawokh3,id_0cxsawokh3.wav,1.914,stop,id_0cxsawokh3.wav
id_rkhel834rg,id_rkhel834rg.wav,2.074,go,
id_2z2xkakm4x,id_2z2xkakm4x.wav,2.274,down,
id_6jxzqvpeqe,id_6jxzqvpeqe.wav,1.974,left,id_6jxzqvpeqe.wav
id_c6u7ypppq4,id_c6u7ypppq4.wav,1.278,go,id_c6u7ypppq4.wav
id_diypmeuq7o,id_diypmeuq7o.wav,2.378,yes,id_diypmeuq7o.wav
id_ppzhvjntnh,id_ppzhvjntnh.wav,2.176,down,id_ppzhvjntnh.wav
id_ppc87ktzvp,id_ppc87ktzvp.wav,2.074,no,id_ppc87ktzvp.wav
id_qcnddktgt5,id_qcnddktgt5.wav,2.667,go,id_qcnddktgt5.wav
id_q736fww61k,id_q736fww61k.wav,2.112,stop,id_q736fww61k.wav
id_df00ox5q5c,id_df00ox5q5c.wav,2.261,right,id_df00ox5q5c.wav
id_dorbabzz7n,id_dorbabzz7n.wav,1.38,go,id_dorbabzz7n.wav
id_6302f52oj1,id_6302f52oj1.wav,2.998,left,id_6302f52oj1.wav
id_d1d2n1nqjn,id_d1d2n1nqjn.wav,1.834,up,id_d1d2n1nqjn.wav
id_4tohs3ov0h,id_4tohs3ov0h.wav,2.667,go,id_4tohs3ov0h.wav
id_x7txm6vzhe,id_x7txm6vzhe.wav,1.494,no,id_x7txm6vzhe.wav
id_px2ybjnibk,id_px2ybjnibk.wav,1.934,right,id_px2ybjnibk.wav
id_5srt7svh62,id_5srt7svh62.wav,1.494,no,id_5srt7svh62.wav
id_ba5owadsjn,id_ba5owadsjn.wav,1.278,go,id_ba5owadsjn.wav
id_dzhe94v8zt,id_dzhe94v8zt.wav,2.133,yes,id_dzhe94v8zt.wav
id_hcisxsoodt,id_hcisxsoodt.wav,1.238,right,id_hcisxsoodt.wav
id_qrzkhby2zu,id_qrzkhby2zu.wav,2.133,yes,id_qrzkhby2zu.wav
id_nsc6y063yz,id_nsc6y063yz.wav,1.138,stop,id_nsc6y063yz.wav
id_4zznw07sv8,id_4zznw07sv8.wav,1.984,up,id_4zznw07sv8.wav
id_ayom7d5ma5,id_ayom7d5ma5.wav,1.899,left,id_ayom7d5ma5.wav
id_mvxnp6semn,id_mvxnp6semn.wav,2.274,down,id_mvxnp6semn.wav
id_b9bsviqic5,id_b9bsviqic5.wav,2.118,go,id_b9bsviqic5.wav
id_7k65xuytis,id_7k65xuytis.wav,1.899,left,id_7k65xuytis.wav
id_rmgk85rozm,id_rmgk85rozm.wav,1.278,go,id_rmgk85rozm.wav
id_ev2gxwtcun,id_ev2gxwtcun.wav,2.667,go,id_ev2gxwtcun.wav
id_uw0u6oylft,id_uw0u6oylft.wav,1.38,go,id_uw0u6oylft.wav
id_71dgjf4rq2,id_71dgjf4rq2.wav,1.984,up,id_71dgjf4rq2.wav
id_ndtctwtjy3,id_ndtctwtjy3.wav,1.664,yes,id_ndtctwtjy3.wav
id_iezb1i7b2d,id_iezb1i7b2d.wav,1.984,left,id_iezb1i7b2d.wav
id_7vqh505m4k,id_7vqh505m4k.wav,2.074,go,id_7vqh505m4k.wav
id_qb8v4o26z2,id_qb8v4o26z2.wav,2.118,go,id_qb8v4o26z2.wav
id_ish10ght53,id_ish10ght53.wav,2.261,right,id_ish10ght53.wav
id_3gosj55k6y,id_3gosj55k6y.wav,1.674,yes,id_3gosj55k6y.wav
id_hojjw04j7a,id_hojjw04j7a.wav,1.4935,no,id_hojjw04j7a.wav
id_rrtl1cvmsx,id_rrtl1cvmsx.wav,1.238,right,id_rrtl1cvmsx.wav
id_n8qio5pqbq,id_n8qio5pqbq.wav,2.261,right,id_n8qio5pqbq.wav
id_cwzud3bqkf,id_cwzud3bqkf.wav,1.078,up,id_cwzud3bqkf.wav
id_upkfns86ox,id_upkfns86ox.wav,1.984,up,id_upkfns86ox.wav
id_60qhb822b2,id_60qhb822b2.wav,2.3466666666666667,up,
id_uo6fq6g9x2,id_uo6fq6g9x2.wav,1.358,down,id_uo6fq6g9x2.wav
id_dojjf4o4mf,id_dojjf4o4mf.wav,1.358,down,id_dojjf4o4mf.wav
id_7r0ktas4du,id_7r0ktas4du.wav,2.074,no,id_7r0ktas4du.wav
id_6s3sci6y9p,id_6s3sci6y9p.wav,1.984,up,id_6s3sci6y9p.wav
id_yo3bajjato,id_yo3bajjato.wav,2.261,right,id_yo3bajjato.wav
id_d6bn30gsnx,id_d6bn30gsnx.wav,1.792,right,id_d6bn30gsnx.wav
id_3w3ekp9c8r,id_3w3ekp9c8r.wav,2.378,yes,id_3w3ekp9c8r.wav
id_8yvjjc141a,id_8yvjjc141a.wav,1.664,no,id_8yvjjc141a.wav
id_fttf1lqgx5,id_fttf1lqgx5.wav,1.899,left,id_fttf1lqgx5.wav
id_1tawa1rpmj,id_1tawa1rpmj.wav,1.078,up,id_1tawa1rpmj.wav
id_mk5cdjqeot,id_mk5cdjqeot.wav,1.338,left,id_mk5cdjqeot.wav
id_4wvzp8l8rv,id_4wvzp8l8rv.wav,1.494,no,id_4wvzp8l8rv.wav
id_3zclf5d84m,id_3zclf5d84m.wav,1.792,right,id_3zclf5d84m.wav
id_msg907h8gf,id_msg907h8gf.wav,2.134,stop,id_msg907h8gf.wav
id_o667a87wn8,id_o667a87wn8.wav,1.554,up,id_o667a87wn8.wav
id_fo5ze97ht4,id_fo5ze97ht4.wav,2.074,go,id_fo5ze97ht4.wav
id_27488w2srq,id_27488w2srq.wav,2.176,down,id_27488w2srq.wav
id_jcmku02yu8,id_jcmku02yu8.wav,2.274,down,id_jcmku02yu8.wav
id_wts3q8nxp3,id_wts3q8nxp3.wav,1.338,left,id_wts3q8nxp3.wav
id_ey936vgwrz,id_ey936vgwrz.wav,2.176,down,id_ey936vgwrz.wav
id_5b8l9rggvt,id_5b8l9rggvt.wav,2.274,down,id_5b8l9rggvt.wav
id_fir2tyt93i,id_fir2tyt93i.wav,1.984,left,id_fir2tyt93i.wav
id_uwx8s09xai,id_uwx8s09xai.wav,2.667,go,id_uwx8s09xai.wav
id_owlysixubt,id_owlysixubt.wav,1.238,right,id_owlysixubt.wav
id_ch3wsl8b8v,id_ch3wsl8b8v.wav,2.134,stop,id_ch3wsl8b8v.wav
id_qhemj7bb82,id_qhemj7bb82.wav,1.138,stop,id_qhemj7bb82.wav
id_k4p8h81mav,id_k4p8h81mav.wav,1.238,right,id_k4p8h81mav.wav
id_h0wc7cns10,id_h0wc7cns10.wav,2.261,right,id_h0wc7cns10.wav
id_cbdg2fr4ac,id_cbdg2fr4ac.wav,1.38,go,id_cbdg2fr4ac.wav
id_scr1c0qsst,id_scr1c0qsst.wav,2.261,right,id_scr1c0qsst.wav
id_3gorw03gjh,id_3gorw03gjh.wav,1.664,yes,id_3gorw03gjh.wav
id_p0dpo7eurt,id_p0dpo7eurt.wav,2.261,right,id_p0dpo7eurt.wav
id_ddjaxnklrw,id_ddjaxnklrw.wav,2.347,up,id_ddjaxnklrw.wav
id_hfqyv3f1ub,id_hfqyv3f1ub.wav,1.984,up,id_hfqyv3f1ub.wav
id_kkl7s2uuru,id_kkl7s2uuru.wav,1.974,left,
id_prkee3dr5o,id_prkee3dr5o.wav,1.578,yes,id_prkee3dr5o.wav
id_20g0aoc6dj,id_20g0aoc6dj.wav,2.261,right,id_20g0aoc6dj.wav
id_m460hfjbmw,id_m460hfjbmw.wav,1.38,go,id_m460hfjbmw.wav
id_u0hnq6b8fn,id_u0hnq6b8fn.wav,1.578,yes,id_u0hnq6b8fn.wav
id_t2qx2ppnje,id_t2qx2ppnje.wav,2.176,down,
id_qkq8d511cn,id_qkq8d511cn.wav,1.984,up,
id_szkgbmchk1,id_szkgbmchk1.wav,1.634,down,
id_urt01eytk9,id_urt01eytk9.wav,2.274,go,id_urt01eytk9.wav
id_fiewjint93,id_fiewjint93.wav,2.998,left,id_fiewjint93.wav
id_z3tonxnx9u,id_z3tonxnx9u.wav,2.274,down,id_z3tonxnx9u.wav
id_j34b5n3dbe,id_j34b5n3dbe.wav,1.834,up,id_j34b5n3dbe.wav
id_12grv7kxy1,id_12grv7kxy1.wav,1.078,no,
id_hljzjfsxkr,id_hljzjfsxkr.wav,1.634,down,id_hljzjfsxkr.wav
id_008hdy1ctr,id_008hdy1ctr.wav,1.298,no,id_008hdy1ctr.wav
